P0_01,P1
P0_02,P2
AIN0,P2
P0_03,P3
AIN1,P3
P0_04,P4
AIN2,P4
P0_05,P5
AIN3,P5
V_BAT,P4
P0_06,P6
P0_07,P7
P0_08,P8
P0_09,P9
NFC1,P9
NFC2,P10
P0_10,P10
P0_11,P11
P0_12,P12
P0_13,P13
P0_14,P14
P0_15,P15
P0_16,P16
P0_17,P17
P0_18,P18
P0_19,P19
P0_20,P20
P0_21,P21
P0_22,P22
P0_23,P23
P0_24,P24
P0_25,P25
P0_26,P26
P0_27,P27
P0_28,P28
AIN4,P28
P0_29,P29
AIN5,P29
P0_30,P30
AIN6,P30
AIN7,P31
P0_31,P31
P1_00,P32
P1_01,P33
P1_02,P34
P1_04,P35
P1_06,P38
P1_07,P39
P1_08,P40
P1_09,P41
P1_10,P42
P1_11,P43
P1_13,P45
P1_14,P46
P1_15,P47
SWITCH,P34
A0,P4
A1,P5
A2,P30
A3,P28
A4,P2
A5,P3
AREF,P31
VOLTAGE_MONITOR,P29
BATTERY,P29
SWITCH,P34
NFC1,P9
NFC2,P10
D2,P10
D3,P47
D5,P40
D6,P7
D9,P26
D10,P27
D11,P6
D12,P8
D13,P41
NEOPIXEL,P16
NEOPIXEL_POWER,P46
SCK,P14
MOSI,P13
MISO,P15
TX,P25
RX,P24
SCL,P11
SDA,P12
LED,P47
BLUE_LED,P42